#first name,count
HOLLIS,110
BRANDON,110
ARRINGTON,110
ERVIN,110
CLIFTON,110
RITTER,110
MCGHEE,110
BOLDEN,110
MALONEY,110
GAGNON,110
DUNBAR,110
PONCE,110
PIKE,110
MAYES,110
HEARD,110
BEATTY,110
MOBLEY,110
KIMBALL,110
BUTTS,110
MONTES,110
HERBERT,110
GRADY,110
ELDRIDGE,110
BRAUN,110
HAMM,110
GIBBONS,110
SEYMOUR,110
MOYER,110
MANLEY,110
HERRON,110
PLUMMER,110
ELMORE,110
CRAMER,110
GARY,110
RUCKER,110
HILTON,110
BLUE,110
PIERSON,110
FONTENOT,110
FIELD,110
RUBIO,110
GRACE,110
GOLDSTEIN,110
ELKINS,110
WILLS,100
NOVAK,100
JOHN,100
HICKEY,100
WORLEY,100
GORMAN,100
KATZ,100
DICKINSON,100
BROUSSARD,100
FRITZ,100
WOODRUFF,100
CROW,100
CHRISTOPHER,100
BRITTON,100
FORREST,100
NANCE,100
LEHMAN,100
BINGHAM,100
ZUNIGA,100
WHALEY,100
SHAFER,100
COFFMAN,100
STEWARD,100
DELAROSA,100
NIX,100
NEELY,100
NUMBERS,100
MATA,100
MANUEL,100
DAVILA,100
MCCABE,100
KESSLER,100
EMERY,100
BOWLING,100
HINKLE,100
WELSH,100
PAGAN,100
GOLDBERG,100
GOINS,100
CROUCH,100
CUEVAS,100
QUINONES,100
MCDERMOTT,100
HENDRICKSON,100
SAMUELS,100
DENTON,100
BERGERON,100
LAM,100
IVEY,100
LOCKE,100
HAINES,100
THURMAN,100
SNELL,100
HOSKINS,100
BYRNE,100
MILTON,100
WINSTON,100
ARTHUR,100
ARIAS,100
STANFORD,100
ROE,100
CORBIN,100
BELTRAN,100
CHAPPELL,100
HURT,100
DOWNEY,100
DOOLEY,100
TUTTLE,100
COUCH,100
PAYTON,100
MCELROY,100
CROCKETT,100
GROVES,100
CLEMENT,100
LESLIE,100
CARTWRIGHT,100
DICKEY,100
MCGILL,100
DUBOIS,100
MUNIZ,100
ERWIN,100
SELF,100
TOLBERT,100
DEMPSEY,100
CISNEROS,100
SEWELL,100
LATHAM,100
GARLAND,100
VIGIL,100
TAPIA,100
STERLING,100
RAINEY,100
NORWOOD,100
LACY,100
STROUD,100
MEADE,100
AMOS,100
TIPTON,100
LORD,100
KUHN,100
HILLIARD,100
BONILLA,100
TEAGUE,100
COURTNEY,100
GUNN,100
HO,100
GREENWOOD,100
CORREA,100
REECE,100
WESTON,100
POE,100
TRENT,100
PINEDA,100
PHIPPS,100
FREY,100
KAISER,100
AMES,100
PAIGE,100
GUNTER,100
SCHMITT,100
MILLIGAN,100
ESPINOSA,100
CARLTON,100
BOWDEN,100
VICKERS,100
LOWRY,100
PRITCHARD,100
COSTELLO,100
PIPER,90
MCCLELLAN,90
LOVELL,90
DREW,90
SHEEHAN,90
QUICK,90
HATCH,90
DOBSON,90
SINGH,90
JEFFRIES,90
HOLLINGSWORTH,90
SORENSEN,90
MEZA,90
FINK,90
DONNELLY,90
BURRELL,90
BRUNO,90
TOMLINSON,90
COLBERT,90
BILLINGS,90
RITCHIE,90
HELTON,90
SUTHERLAND,90
PEOPLES,90
MCQUEEN,90
GASTON,90
THOMASON,90
MCKINLEY,90
GIVENS,90
CROCKER,90
VOGEL,90
ROBISON,90
DUNHAM,90
COKER,90
SWARTZ,90
KEYS,90
LILLY,90
LADNER,90
HANNAH,90
WILLARD,90
RICHTER,90
HARGROVE,90
EDMONDS,90
BRANTLEY,90
ALBRIGHT,90
MURDOCK,90
BOSWELL,90
MULLER,90
QUINTERO,90
PADGETT,90
KENNEY,90
DALY,90
CONNOLLY,90
PIERRE,90
INMAN,90
QUINTANA,90
LUND,90
BARNARD,90
VILLEGAS,90
SIMONS,90
LAND,90
HUGGINS,90
TIDWELL,90
SANDERSON,90
BULLARD,90
MCCLENDON,90
DUARTE,90
DRAPER,90
MEREDITH,90
MARRERO,90
DWYER,90
ABRAMS,90
STOVER,90
GOODE,90
FRASER,90
CREWS,90
BERNAL,90
SMILEY,90
GODWIN,90
FISH,90
CONKLIN,90
MCNEAL,90
BACA,90
ESPARZA,90
CROWDER,90
BOWER,90
NICHOLAS,90
CHUNG,90
BREWSTER,90
MCNEILL,90
DICK,90
RODRIGUES,90
LEAL,90
COATES,90
RAINES,90
MCCAIN,90
MCCORD,90
MINER,90
HOLBROOK,90
SWIFT,90
DUKES,90
CARLISLE,90
ALDRIDGE,90
ACKERMAN,90
STARKS,90
RICKS,90
HOLLIDAY,90
FERRIS,90
HAIRSTON,90
SHEFFIELD,90
LANGE,90
FOUNTAIN,90
MARINO,90
DOSS,90
BETTS,90
KAPLAN,90
CARMICHAEL,90
BLOOM,90
RUFFIN,90
PENN,90
KERN,90
BOWLES,90
SIZEMORE,90
LARKIN,90
DUPREE,90
JEWELL,90
SILVER,90
SEALS,90
METCALF,90
HUTCHISON,90
HENLEY,90
FARR,90
CASTLE,90
MCCAULEY,90
HANKINS,90
GUSTAFSON,90
DEAL,90
CURRAN,90
ASH,90
WADDELL,90
RAMEY,90
CATES,90
POLLOCK,90
MAJOR,90
IRVIN,90
CUMMINS,90
MESSER,90
HELLER,90
DEWITT,90
LIN,90
FUNK,90
CORNETT,90
PALACIOS,90
GALINDO,90
CANO,90
HATHAWAY,90
SINGER,80
PHAM,80
ENRIQUEZ,80
AARON,80
SALGADO,80
PELLETIER,80
PAINTER,80
WISEMAN,80
BLOUNT,80
HAND,80
FELICIANO,80
TEMPLE,80
HOUSER,80
DOHERTY,80
MEAD,80
MCGRAW,80
TONEY,80
SWAN,80
MELVIN,80
CAPPS,80
BLANCO,80
BLACKMON,80
WESLEY,80
THOMSON,80
MCMANUS,80
FAIR,80
BURKETT,80
POST,80
GLEASON,80
RUDOLPH,80
OTT,80
DICKENS,80
CORMIER,80
VOSS,80
RUSHING,80
ROSENBERG,80
HURD,80
DUMAS,80
BENITEZ,80
ARELLANO,80
STORY,80
MARIN,80
CAUDILL,80
BRAGG,80
JARAMILLO,80
HUERTA,80
